Row,Error,Row Data
65,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:13:31', 'USERNAME': 'hengki4321', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:14:01', 'PROCESS BY': 'xpukul69', 'AMOUNT': 10}"
66,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 20:12:20', 'USERNAME': 'riki79', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 20:12:58', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 95}"
67,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:52:16', 'USERNAME': 'ran12', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:52:52', 'PROCESS BY': 'xpukul69', 'AMOUNT': 24}"
68,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:38:39', 'USERNAME': 'ayusarah69', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:39:14', 'PROCESS BY': 'xpukul69', 'AMOUNT': 44}"
69,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:33:09', 'USERNAME': 'sahruljezz', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:33:48', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 30}"
70,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:25:31', 'USERNAME': 'riki79', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:25:40', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 400}"
71,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:23:27', 'USERNAME': 'kplplapastik', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:24:12', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 150}"
72,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:22:36', 'USERNAME': 'basuki23', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:23:35', 'PROCESS BY': 'xpukul69', 'AMOUNT': 10}"
73,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:19:38', 'USERNAME': 'kanaka', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:20:15', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
74,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:19:26', 'USERNAME': 'erwinsalim17', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:19:45', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 100}"
75,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:16:32', 'USERNAME': 'aditiya999', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:17:35', 'PROCESS BY': 'xpukul69', 'AMOUNT': 89}"
76,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:13:35', 'USERNAME': 'lolipop99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:14:05', 'PROCESS BY': 'xpukul69', 'AMOUNT': 100}"
77,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:09:30', 'USERNAME': 'riki79', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:10:00', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 95}"
78,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:05:06', 'USERNAME': 'r9bold', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:06:31', 'PROCESS BY': 'xpukul69', 'AMOUNT': 45}"
79,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 19:01:20', 'USERNAME': 'karamhapussandi', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 19:02:23', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
80,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:56:22', 'USERNAME': 'apolo99', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:57:13', 'PROCESS BY': 'xpukul69', 'AMOUNT': 30}"
81,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:53:59', 'USERNAME': 'aldimas21', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:55:04', 'PROCESS BY': 'xpukul69', 'AMOUNT': 15}"
82,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:49:59', 'USERNAME': 'setara88', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:50:12', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 297}"
83,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:45:03', 'USERNAME': 'aciba', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:45:03', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 50}"
84,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:43:08', 'USERNAME': 'aciba', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:44:03', 'PROCESS BY': 'xpukul69', 'AMOUNT': 100}"
85,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:37:51', 'USERNAME': 'mod12', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:38:45', 'PROCESS BY': 'xpukul69', 'AMOUNT': 49}"
86,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:37:07', 'USERNAME': 'pitriyana', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:37:18', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 86}"
87,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:28:47', 'USERNAME': 'antem9999', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:28:47', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 50}"
88,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:28:33', 'USERNAME': 'nataro', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:28:33', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 25}"
89,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:25:48', 'USERNAME': 'nataro', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:26:29', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
90,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:23:55', 'USERNAME': 'antem9999', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:24:51', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 100}"
91,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:21:25', 'USERNAME': 'lamaz9990', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:22:28', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 50}"
92,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:15:52', 'USERNAME': 'karin333', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:21:19', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 100}"
93,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 18:12:26', 'USERNAME': 'karin333', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:13:52', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 100}"
94,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:59:42', 'USERNAME': 'semprul09', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 18:00:34', 'PROCESS BY': 'xpukul69', 'AMOUNT': 49}"
95,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:59:01', 'USERNAME': 'emlylover', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:59:43', 'PROCESS BY': 'xpukul69', 'AMOUNT': 46}"
96,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:54:24', 'USERNAME': 'admngao09', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:56:00', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 35}"
97,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:53:56', 'USERNAME': 'cantika240', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:55:06', 'PROCESS BY': 'xpukul69', 'AMOUNT': 10}"
98,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:54:09', 'USERNAME': 'cinta', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:55:00', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
99,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:44:40', 'USERNAME': 'bmkn69', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:45:58', 'PROCESS BY': 'xpukul69', 'AMOUNT': 24}"
100,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:43:30', 'USERNAME': 'pupun12', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:45:00', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
101,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 17:34:23', 'USERNAME': 'ayusarah69', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 17:35:17', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': 72}"
